date,fill,group,starvation,absorbance1,absorbance2,absorbance3,absorbance4,absorbance5,mean,std,ser,comments,mean_noextr,trehalose_concentration_400µl,trehalose_400µlsolution,trehalose_100µlsolution,trehalose_05µlhaemolymph,trehalose_1µlhaemolymph,normalized_to_fed,normalized,,,mean,std,ser,
02/07/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,0,,,,,,see,data.csv,,trehalose_standard,0.0609333333,0.0342630348,0.0098908862
02/07/2013,calibration,2glucose_standard,,0.091,0.095,0.092,0.092,0.083,0.0906,0.0040298883,0.0018022209,,0.0916666667,,,,,,,,,trehalose_half,0.0667916667,0.0300833045,0.008684302,
02/07/2013,calibration,3trehalose_standard,,0.093,0.08,0.092,0.09,0.092,0.0894,0.0048,0.0021466253,,0.0913333333,,,,,,,,,,,,,
02/07/2013,calibration,4trehalose_half,,0.051,0.052,0.052,0.054,0.049,0.0516,0.0016248077,0.0007266361,,0.0516666667,,,,,,,,,,,,,
02/07/2013,w+,5w_fed,no,0.062,0.065,0.071,0.068,0.058,0.0648,0.0045343136,0.0020278067,,0.065,0.0076280336,0.0010444304,0.001305538,0.0026110759,0.0052221518,,,02/07/2013,8.5212,,,,
02/07/2013,tbh,6tbh_fed,no,0.065,0.069,0.062,0.066,0.055,0.0634,0.0047581509,0.0021279098,,0.0643333333,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,
02/17/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,trehalose_half,0.0621166667,0.0307273449,0.0088702204,
02/17/2013,calibration,2glucose_standard,,0.096,0.091,0.087,0.09,0.083,0.0894,0.0043174066,0.0019308029,,0.0893333333,,,,,,,,,glucose_standard,0.0564583333,0.036360822,0.0128554919,
02/17/2013,calibration,3trehalose_standard,,0.091,0.082,0.081,0.083,0.086,0.0846,0.003611094,0.0016149303,,0.0836666667,,,,,,,,,,,,,
02/17/2013,calibration,4trehalose_half,,0.043,0.036,0.041,0.038,0.034,0.0384,0.0032619013,0.0014587666,,0.0383333333,,,,,,,,,,,,,
02/17/2013,w+,5w_fed,no,0.085,0.083,0.086,0.084,0.077,0.083,0.0031622777,0.0014142136,,0.085,0.0113654597,0.0015561587,0.0019451984,0.0038903969,0.0077807937,,,02/17/2013,7.4788,,,,
02/17/2013,tbh,6tbh_fed,no,0.072,0.061,0.065,0.056,0.068,0.0644,0.005535341,0.0024754798,,0.0646666667,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,
02/17/2013,tbh,tbh_starved,,0.026,0.028,0.026,0.023,0.022,0.025,0.0021908902,0.0009797959,28h,starvation,,,,,,,,,,,,,
02/17/2013,w+,w_starved,,0.02,0.024,0.012,0.021,0.019,0.0192,0.0039698866,0.0017753873,28h,starvation,,,,,,,,,,,,,
02/26/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,glucose_standard,0.06598,0.0316391466,0.0100051767,
02/26/2013,calibration,2glucose_standard,,0.092,0.09,0.096,0.09,0.075,0.0886,0.0071442284,0.0031949961,,0.0906666667,,,,,,,,,tbh_starved,0.0541944444,0.0281284943,0.0081199969,
02/26/2013,calibration,3trehalose_standard,,0.081,0.088,0.083,0.083,0.079,0.0828,0.0029933259,0.001338656,,0.0823333333,,,,,,,,,,,,,
02/26/2013,calibration,4trehalose_half,,0.046,0.047,0.049,0.045,0.04,0.0454,0.0030066593,0.0013446189,,0.046,,,,,,,,,,,,,
02/26/2013,w+,5w_fed,no,0.08,0.082,0.084,0.074,0.072,0.0784,0.0046303348,0.0020707487,,0.0786666667,0.0102689955,0.0014060309,0.0017575386,0.0035150771,0.0070301543,,,02/26/2013,7.6606,,,,
02/26/2013,tbh,6tbh_fed,no,0.104,0.117,0.112,0.109,0.109,0.1102,0.0042614552,0.0019057807,,0.11,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
02/26/2013,w+,7w_starved,yes,0.005,0.013,0.013,0.008,0.001,0.008,0.00464758,0.002078461,,0.0086666667,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
02/26/2013,tbh,8tbh_starved,yes,0.005,0.086,0.092,0.09,0.084,0.0714,0.0333202641,0.0149012751,,0.0866666667,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
02/28/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,tbh_starved,#DIV/0!,#DIV/0!,#DIV/0!,
02/28/2013,calibration,2glucose_standard,,0.07,0.069,0.079,0.064,0.075,0.0714,0.0051613952,0.0023082461,,0.0535,,,,,,,,,tbh_fed,0.0690238095,0.0298853535,0.0079871967,
02/28/2013,calibration,3trehalose_standard,,0.1,0.104,0.108,0.105,0.102,0.1038,0.002712932,0.0012132601,,0.1036666667,,,,,,,,,,,,,
02/28/2013,calibration,4trehalose_half,,0.053,0.047,0.059,0.048,0.05,0.0514,0.0043174066,0.0019308029,,0.0503333333,,,,,,,,,,,,,
02/28/2013,w+,5w_fed,no,0.088,0.074,0.088,0.078,0.09,0.0836,0.006374951,0.0028509647,,0.0846666667,0.0090362196,0.0012372392,0.001546549,0.003093098,0.0061861959,,,02/28/2013,9.3697,,,,
02/28/2013,tbh,6tbh_fed,no,0.084,0.089,0.102,0.08,0.099,0.0908,0.0084711274,0.0037884034,,0.0906666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
02/28/2013,w+,7w_starved,yes,0.041,0.038,0.051,0.036,0.05,0.0432,0.0061773781,0.0027626075,,0.043,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.4708029197,,,,,,,
02/28/2013,tbh,8tbh_starved,yes,0.04,0.044,0.055,0.044,0.057,0.048,0.0067230945,0.0030066593,,0.0476666667,#REF!,#REF!,#REF!,#REF!,#REF!,0.7409326425,,,,,,,
03/03/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,tbh_fed,0.0529571429,0.0308531247,0.0082458444,
03/03/2013,calibration,2glucose_standard,,0.105,0.101,0.105,0.11,0.097,0.1036,0.0043634848,0.0019514097,,0.1036666667,,,,,,,,,w_starved,0.0523888889,0.0267307679,0.007716508,
03/03/2013,calibration,3trehalose_standard,,0.08,0.086,0.093,0.098,0.083,0.088,0.0066030296,0.0029529646,,0.0873333333,,,,,,,,,,,,,
03/03/2013,calibration,4trehalose_half,,0.042,0.046,0.044,0.049,0.056,0.0474,0.0048826222,0.0021835751,,0.0463333333,,,,,,,,,,,,,
03/03/2013,w+,5w_fed,no,0.087,0.098,0.085,0.098,0.087,0.091,0.0057619441,0.0025768197,,0.0906666667,0.0112820002,0.0015447315,0.0019309143,0.0038618287,0.0077236574,,,03/03/2013,8.0364,,,,
03/03/2013,tbh,6tbh_fed,no,0.077,0.074,0.077,0.079,0.066,0.0746,0.004586938,0.002051341,,0.076,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
03/03/2013,w+,7w_starved,yes,0.05,0.046,0.042,0.052,0.039,0.0458,0.0048332184,0.002161481,,0.046,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.5411764706,,,,,,,
03/03/2013,tbh,8tbh_starved,yes,0.023,0.02,0.024,0.03,0.02,0.0234,0.0036660606,0.0016395121,,0.0223333333,#REF!,#REF!,#REF!,#REF!,#REF!,#DIV/0!,,,,,,,
03/04/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,w_starved,#DIV/0!,#DIV/0!,#DIV/0!,
03/04/2013,calibration,2glucose_standard,,0.097,0.09,0.089,0.107,0.088,0.0942,0.0071386273,0.0031924912,,0.092,,,,,,,,,w_fed,0.0690238095,0.0298853535,0.0079871967,
03/04/2013,calibration,3trehalose_standard,,0.104,0.096,0.104,0.11,0.099,0.1026,0.0048,0.0021466253,,0.1023333333,,,,,,,,,,,,,
03/04/2013,calibration,4trehalose_half,,0.047,0.047,0.044,0.062,0.049,0.0498,0.0063055531,0.0028199291,,0.0476666667,,,,,,,,,,,,,
03/04/2013,w+,5w_fed,no,0.053,0.053,0.051,0.065,0.047,0.0538,0.0060133186,0.0026892378,,0.0523333333,0.0057034082,0.0007809107,0.0009761383,0.0019522766,0.0039045533,,,03/04/2013,9.1758,,,,
03/04/2013,tbh,6tbh_fed,no,0.033,0.06,0.057,0.079,0.076,0.061,0.0164316767,0.0073484692,,0.0643333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
03/04/2013,w+,7w_starved,yes,0.018,0.017,0.017,0.029,0.013,0.0188,0.0053814496,0.0024066574,,0.0173333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.2203389831,,,,,,,
03/04/2013,tbh,8tbh_starved,yes,0.071,0.07,0.072,0.078,0.075,0.0732,0.0029257478,0.0013084342,,0.0726666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.8384615385,,,,,,,
03/13/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,w_fed,0.0529571429,0.0308531247,0.0082458444,
03/13/2013,calibration,2glucose_standard,,0.107,0.099,0.084,0.099,0.102,0.0982,0.0076785415,0.0034339482,,0.1,,,,,,,,,,,,,
03/13/2013,calibration,3trehalose_standard,,0.096,0.091,0.074,0.091,0.116,0.0936,0.0134551106,0.0060173084,,0.0926666667,,,,,,,,,,,,,
03/13/2013,calibration,4trehalose_half,,0.057,0.051,0.039,0.048,0.055,0.05,0.0063245553,0.0028284271,,0.0513333333,,,,,,,,,,,,,
03/13/2013,w+,5w_fed,no,0.013,0.061,0.049,0.063,0.065,0.0502,0.0194154578,0.0086828567,,0.0576666667,0.0067006736,0.0009174562,0.0011468203,0.0022936406,0.0045872811,,,03/13/2013,8.6061,,,,
03/13/2013,tbh,6tbh_fed,no,0.057,0.076,0.057,0.085,0.076,0.0702,0.0112676528,0.0050390475,,0.0696666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
03/13/2013,w+,7w_starved,yes,0.088,0.007,0.017,0.006,0.014,0.0264,0.0310779665,0.0138984891,,0.0126666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1496062992,,,,,,,
03/13/2013,tbh,8tbh_starved,yes,0.057,0.062,0.044,0.045,0.047,0.051,0.007183314,0.0032124757,,0.0496666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.041958042,,,,,,,
03/14/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,
03/14/2013,calibration,2glucose_standard,,0.083,0.117,0.077,0.093,0.093,0.0926,0.0136469777,0.006103114,,0.0896666667,,,,,,,,,,,,,
03/14/2013,calibration,3trehalose_standard,,0.07,0.137,0.09,0.11,0.102,0.1018,0.0221666416,0.0099132235,,0.1006666667,,,,,,,,,,,,,
03/14/2013,calibration,4trehalose_half,,0.051,0.091,0.054,0.056,0.057,0.0618,0.014743134,0.00659333,,0.0556666667,,,,,,,,,,,,,
03/14/2013,w+,5w_fed,no,0.065,0.096,0.061,0.073,0.061,0.0712,0.0131514258,0.0058814964,,0.0663333333,0.0070978903,0.0009718431,0.0012148039,0.0024296078,0.0048592157,,,03/14/2013,9.3455,,,,
03/14/2013,w+,5w_fed,no,0.061,0.098,0.059,0.07,0.073,0.0722,0.0139341308,0.0062315327,,0.068,0.0072762292,0.0009962613,0.0012453266,0.0024906533,0.0049813065,,,03/14/2013,9.3455,,,,
03/14/2013,tbh,6tbh_fed,no,0.028,0.061,0.023,0.021,0.037,0.034,0.014587666,0.0065238026,,0.0293333333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,
03/14/2013,tbh,6tbh_fed,no,0.043,0.077,0.039,0.056,0.051,0.0532,0.0133026313,0.0059491176,,0.05,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
03/14/2013,w+,7w_starved,yes,0.053,0.084,0.045,0.032,0.057,0.0542,0.0171743996,0.007680625,,0.0516666667,0.006429081,0.0008802698,0.0011003372,0.0022006744,0.0044013489,1.1231884058,,,,,,,
03/14/2013,w+,7w_starved,yes,0.046,0.078,0.043,0.047,0.053,0.0534,0.0127216351,0.0056892882,,0.0486666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.1791044776,,,,,,,
03/14/2013,tbh,8tbh_starved,yes,0.038,0.069,0.035,0.048,0.039,0.0458,0.0123838605,0.0055382308,,0.0416666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.4071661238,,,,,,,
03/14/2013,tbh,8tbh_starved,yes,0.034,0.068,0.031,0.048,0.037,0.0436,0.0134848063,0.0060305887,,0.0396666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.8321678322,,,,,,,
03/14/2013,tbh,9tbh_starved26,yes,0.03,0.065,0.031,0.037,0.039,0.0404,0.0127687118,0.0057103415,,0.0356666667,,,,,,,,,,,,,
03/21/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,
03/21/2013,calibration,2glucose_standard,,0.1,0.1,0.093,0.093,0.098,0.0968,0.0031874755,0.0014254824,,0.097,,,,,,,,,,,,,
03/21/2013,calibration,3trehalose_standard,,0.106,0.09,0.089,0.08,0.095,0.092,0.008508819,0.0038052595,,0.0913333333,,,,,,,,,,,,,
03/21/2013,calibration,4trehalose_half,,0.056,0.045,0.045,0.042,0.053,0.0482,0.0053441557,0.0023899791,,0.0476666667,,,,,,,,,,,,,
03/21/2013,w+,5w_fed,no,0.087,0.084,0.08,0.077,0.083,0.0822,0.0034292856,0.0015336232,,0.0823333333,0.0098299068,0.0013459108,0.0016823885,0.0033647771,0.0067295542,,,03/21/2013,8.3758,,,,
03/21/2013,tbh,6tbh_fed,no,0.097,0.086,0.081,0.075,0.085,0.0848,0.007222188,0.0032298607,,0.084,0.0089882831,0.0012306757,0.0015383447,0.0030766893,0.0061533786,,,,,,,,
03/21/2013,w+,7w_starved,yes,0.052,0.046,0.045,0.047,0.052,0.0484,0.0030066593,0.0013446189,,0.0483333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.4833333333,,,,,,,
03/21/2013,tbh,8tbh_starved,yes,0.082,0.07,0.067,0.065,0.075,0.0718,0.0061122827,0.0027334959,,0.0706666667,0.0087933237,0.0012039819,0.0015049774,0.0030099547,0.0060199094,1.225433526,,,,,,,
03/21/2013,tbh,9tbh_starved26,yes,0.062,0.058,0.052,0.043,0.057,0.0544,0.0065299311,0.002920274,,0.0556666667,,,,,,,,,,,,,
03/27/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,
03/27/2013,calibration,2glucose_standard,,0.093,0.091,0.089,0.091,0.103,0.0934,0.0049638695,0.0022199099,,0.0916666667,,,,,,,,,,,,,
03/27/2013,calibration,3trehalose_standard,,0.135,0.126,0.127,0.129,0.132,0.1298,0.0033105891,0.0014805404,,0.1293333333,,,,,,,,,,,,,
03/27/2013,calibration,4trehalose_half,,0.056,0.052,0.05,0.051,0.054,0.0526,0.0021540659,0.0009633276,,0.0523333333,,,,,,,,,,,,,
03/27/2013,w+,5w_fed,no,0.049,0.048,0.042,0.043,0.045,0.0454,0.0027276363,0.0012198361,,0.0453333333,0.0040086067,0.0005488584,0.000686073,0.0013721461,0.0027442922,,,03/27/2013,11.309,,,,
03/27/2013,tbh,6tbh_fed,no,0.075,0.07,0.069,0.073,0.069,0.0712,0.0024,0.0010733126,,0.0706666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
03/27/2013,w+,7w_starved,yes,0.031,0.023,0.022,0.018,0.028,0.0244,0.004586938,0.002051341,,0.0243333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.2417218543,,,,,,,
03/27/2013,tbh,8tbh_starved,yes,0.035,0.027,0.029,0.028,0.029,0.0296,0.0028,0.0012521981,,0.0286666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.4215686275,,,,,,,
03/27/2013,tbh,9tbh_starved26,yes,0.044,0.046,0.045,0.032,0.045,0.0424,0.0052383203,0.0023426481,,0.0446666667,,,,,,,,,,,,,
03/27/2013,tbh,9tbh_starved26,yes,0.036,0.043,0.047,0.032,0.033,0.0382,0.0058446557,0.0026138095,,0.0373333333,,,,,,,,,,,,,
04/16/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,mean_no_extremes,std,ser,
04/16/2013,calibration,3trehalose_standard,,0.098,0.104,0.093,0.093,0.106,0.0988,0.0054184869,0.002423221,,0.0983333333,,,,,,,,,,,,,
04/16/2013,calibration,4trehalose_half,,0.05,0.044,0.044,0.044,0.049,0.0462,0.002712932,0.0012132601,,0.0456666667,,,,,,,,,,,,,
04/16/2013,w+,5w_fed,no,0.076,0.058,0.054,0.055,0.052,0.059,0.0087177979,0.0038987177,,0.0556666667,0.0063170716,0.0008649334,0.0010811668,0.0021623336,0.0043246672,,,04/16/2013,8.8121,,,,
04/16/2013,tbh,6tbh_fed,no,0.049,0.049,0.049,0.045,0.049,0.0482,0.0016,0.0007155418,,0.049,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
04/16/2013,w+,7w_starved,yes,0.044,0.03,0.028,0.025,0.035,0.0324,0.0066513157,0.0029745588,,0.031,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.781512605,,,,,,,
04/16/2013,tbh,8tbh_starved,yes,0.021,0.018,0.013,0.016,0.019,0.0174,0.0027276363,0.0012198361,,0.0176666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1821305842,,,,,,,
04/18/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,,,,,,,,,trehalose_standard,#DIV/0!,#DIV/0!,#DIV/0!,
04/18/2013,calibration,3trehalose_standard,,0.075,0.085,0.077,0.071,0.078,0.0772,0.0045782093,0.0020474374,,0.0766666667,,,,,,,,,,,,,
04/18/2013,calibration,4trehalose_half,,0.042,0.05,0.042,0.04,0.039,0.0426,0.0038781439,0.0017343587,,0.0413333333,,,,,,,,date,slope,of,calbration,curve,
04/18/2013,w+,5w_fed,no,0.073,0.073,0.068,0.066,0.069,0.0698,0.0027856777,0.0012457929,,0.07,0.0098886817,0.0013539583,0.0016924479,0.0033848957,0.0067697915,,,04/18/2013,7.0788,,,,
04/18/2013,w+,5w_fed,no,0.094,0.088,0.094,0.085,0.088,0.0898,0.0036,0.0016099689,,0.09,0.0127140193,0.0017408035,0.0021760044,0.0043520088,0.0087040176,,,04/18/2013,7.0788,,,,
04/18/2013,tbh,6tbh_fed,no,0.074,0.084,0.078,0.073,0.073,0.0764,0.0042237424,0.001888915,,0.075,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
04/18/2013,tbh,6tbh_fed,no,0.083,0.085,0.084,0.076,0.09,0.0836,0.0044988888,0.0020119642,,0.084,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
04/18/2013,w+,7w_starved,yes,0.041,0.039,0.042,0.03,0.035,0.0374,0.0044090815,0.0019718012,,0.0383333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.5424528302,,,,,,,
04/18/2013,w+,7w_starved,yes,0.049,0.043,0.052,0.039,0.051,0.0468,0.0049959984,0.0022342784,,0.0476666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.8562874251,,,,,,,
04/18/2013,tbh,8tbh_starved,yes,0.065,0.058,0.056,0.047,0.054,0.056,0.0058309519,0.002607681,,0.056,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.4329896907,,,,,,,
04/18/2013,tbh,8tbh_starved,yes,0.07,0.071,0.068,0.059,0.064,0.0664,0.0044090815,0.0019718012,,0.0673333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.2866242038,,,,,,,
